zip,"Estimated percent of all people age 25-34, between 2014-2018.","Estimated percent of all people age 35-44, between 2014-2018.","Estimated percent of all people age 45-54, between 2014-2018.","Estimated percent of all people age 55-64, between 2014-2018.","Estimated percent of all people 65 or older, between 2014-2018.",Estimated typical (median) age of all people between 2013-2017.
01420,13.002500000000003,12.7975,14.185833333333335,11.848333333333334,13.805000000000001,36.5
01430,11.415,12.955,13.614999999999998,18.495,14.614999999999998,42.0
01431,9.14,9.879999999999999,16.085,15.965,17.32,43.0
01432,9.916666666666666,13.046666666666667,16.96666666666667,16.763333333333335,13.43,42.333333333333336
01434,13.313333333333333,13.31,17.02,16.843333333333334,14.533333333333333,42.333333333333336
01436,13.01,12.059999999999999,15.1,14.524999999999999,15.635000000000002,44.0
01438,12.34,11.75,16.18,13.26,16.94,46.0
01440,13.82125,12.30375,14.014999999999999,15.30875,15.24375,41.625
01450,9.594999999999999,11.6225,17.545,16.7925,14.82,43.75
01451,9.65,11.909999999999998,18.27,17.033333333333335,13.996666666666668,45.0
01452,9.925,10.780000000000001,20.3,14.14,12.995000000000001,43.0
01453,13.841818181818182,12.891818181818183,14.652727272727274,13.319999999999999,14.986363636363638,39.45454545454545
01460,8.672,13.872,17.31,15.95,13.437999999999999,43.8
01462,10.888333333333334,13.028333333333334,16.418333333333333,14.475000000000001,14.481666666666667,40.833333333333336
01463,10.723999999999998,9.934000000000001,18.08,15.98,13.947999999999999,42.2
01464,14.2,14.06,16.43,19.37,14.41,42.0
01467,10.2,10.44,19.86,15.46,16.44,46.0
01468,9.753333333333334,10.796666666666667,19.013333333333335,15.703333333333333,16.69333333333333,47.0
01469,11.09,10.925,16.49,15.355,14.754999999999999,39.5
01472,7.09,10.19,20.42,14.4,13.33,43.0
01473,10.21,10.477500000000001,15.5075,16.89,17.439999999999998,43.5
01474,10.513333333333334,10.943333333333333,16.94333333333333,16.84,14.729999999999999,41.666666666666664
01475,12.985,10.725,16.18,15.0,15.524999999999999,43.5
01501,11.924285714285713,12.48857142857143,15.33,15.005714285714289,16.59857142857143,43.42857142857143
01503,5.925000000000001,12.655,16.83,16.63,16.955,45.5
01504,11.713333333333333,13.766666666666666,17.466666666666665,15.0,11.866666666666667,40.666666666666664
01505,6.855,13.33,16.785,16.0,16.89,44.0
01506,16.67,11.31,13.09,14.22,20.55,45.0
01507,11.94,11.58333333333333,14.906666666666668,15.385,14.206666666666665,40.833333333333336
01508,15.27,7.62,12.8,17.85,17.78,43.0
01509,15.27,7.62,12.8,17.85,17.78,43.0
01510,12.026666666666666,13.275,15.401666666666666,14.033333333333331,14.868333333333334,41.166666666666664
01515,12.385,12.434999999999999,13.030000000000001,18.555,16.575,44.0
01516,8.415000000000001,11.899999999999999,17.505000000000003,16.895,11.675,42.5
01518,9.14,12.855,14.355,12.425,23.05,46.0
01519,11.0925,14.430000000000001,17.759999999999998,13.5075,13.3625,41.75
